Cited_App_nbr,in_degree,prio_year_cited,Shannon_Entropy
EP19860302002,1,1985,1.945910149055313
EP19860300043,1,1985,1.945910149055313
EP19870302287,1,1986,0.6931471805599453
EP19880311927,4,1987,3.295836866004329
EP19880311926,3,1987,2.639057329615258
EP19850307623,1,1984,-0.0
EP19830307034,1,1982,1.0986122886681096
EP19850810218,1,1984,1.3862943611198906
EP19870303049,1,1986,0.6931471805599453
EP19880402166,3,1987,2.0794415416798357
EP19890308759,2,1988,2.0794415416798357
EP19840306437,1,1983,1.3862943611198906
EP19880305284,2,1987,1.945910149055313
EP19890300248,2,1988,1.3862943611198906
EP19880810820,1,1987,-0.0
EP19900304575,4,1989,1.6094379124341005
EP19890308311,1,1988,0.6931471805599453
EP19900305979,1,1989,2.639057329615258
EP19900306563,1,1989,1.945910149055313
EP19900306599,1,1989,1.945910149055313
EP19840308963,2,1983,-0.0
EP19860115859,2,1985,1.6094379124341005
EP19860304998,1,1985,2.3978952727983707
EP19890305551,1,1988,2.639057329615258
EP19880309913,1,1987,-0.0
EP19900306392,1,1989,-0.0
EP19850301291,3,1984,-0.0
EP19880301306,1,1987,-0.0
EP19900307634,1,1989,1.3862943611198906
EP19860308815,1,1985,-0.0
EP19900307820,2,1989,2.0794415416798357
EP19900301125,1,1989,1.6094379124341005
EP19840301027,1,1983,1.7917594692280547
EP19880307718,1,1987,2.0794415416798357
EP19830201054,1,1982,1.3862943611198906
EP19870303135,1,1986,0.6931471805599453
EP19900309028,1,1989,1.945910149055313
EP19870301335,2,1986,1.0986122886681096
EP19810105635,1,1980,1.3862943611198906
EP19890313492,1,1988,2.0794415416798357
EP19900308542,1,1989,0.6931471805599453
EP19880303645,1,1987,1.0986122886681096
EP19900309638,1,1989,1.6094379124341005
EP19890302265,1,1988,1.7917594692280547
EP19890870027,3,1988,0.6931471805599453
EP19830305456,1,1982,1.7917594692280547
EP19890303920,1,1988,1.3862943611198906
EP19900308961,1,1989,1.945910149055313
